car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,manufacture,engine,Seats,company
Jeep Compass 2.0 Longitude Option BSIV,1346308.0,86226,Diesel,Manual,2017,1956,5,Jeep
Renault Duster RXZ Turbo CVT,1722147.0,13248,Petrol,Automatic,2021,1330,5,Renault
Toyota Camry 2.5 G,2201342.0,60343,Petrol,Automatic,2016,2494,5,Toyota
Honda Jazz VX CVT,1042953.0,26696,Petrol,Automatic,2018,1199,5,Honda
Volkswagen Polo 1.2 MPI Highline,691275.0,69414,Petrol,Manual,2016,1199,5,Volkswagen
Volkswagen Vento 1.2 TSI Highline AT,1028187.0,49719,Petrol,Automatic,2017,1197,5,Volkswagen
Volkswagen Vento 1.2 TSI Highline Plus AT,1017449.0,43688,Petrol,Automatic,2017,1197,5,Volkswagen
Honda WR-V VX Diesel,1557046.0,14470,Diesel,Manual,2021,1498,5,Honda
Honda City i VTEC CVT SV,938255.0,21429,Petrol,Automatic,2015,1497,5,Honda
Renault Duster Petrol RXS CVT,1010738.0,31750,Petrol,Automatic,2017,1498,5,Renault
Maruti Baleno 1.2 Alpha,863087.0,38203,Petrol,Manual,2017,1197,5,Maruti
Honda City i VTEC CVT SV,728859.0,110284,Petrol,Automatic,2014,1497,5,Honda
Mahindra XUV300 W6,1157046.0,10381,Petrol,Manual,2020,1197,5,Mahindra
Jeep Compass 1.4 Limited Plus BSIV,2252348.0,32378,Petrol,Automatic,2019,1368,5,Jeep
Honda City V MT,1346308.0,38906,Petrol,Manual,2020,1498,5,Honda
Hyundai Grand i10 AT Asta,755704.0,59313,Petrol,Automatic,2016,1197,5,Hyundai
Hyundai i20 1.4 Asta,895302.0,85672,Diesel,Manual,2017,1396,5,Hyundai
Maruti Ciaz 1.4 Delta,903355.0,34971,Petrol,Manual,2017,1373,5,Maruti
Nissan Micra XL Optional,430872.0,35894,Petrol,Manual,2015,1198,5,Nissan
Maruti Ciaz Alpha Automatic BSIV,1140939.0,56000,Petrol,Automatic,2019,1462,5,Maruti
Maruti Swift Dzire VXI,582550.0,56568,Petrol,Manual,2014,1197,5,Maruti
Renault KWID RXT,417449.0,48872,Petrol,Manual,2017,799,5,Renault
Renault KWID RXL BSIV,496644.0,17346,Petrol,Manual,2019,799,5,Renault
Jeep Compass 2.0 Limited Plus BSIV,2131543.0,15414,Diesel,Manual,2019,1956,5,Jeep
